182	286720	2141	8	140	2256	11850
183	286720	2141	8	140	2256	11850
183	286720	2141	10	116	1128	8326
184	286720	2141	4	92	488	6776
184	286720	2141	8	74	1796	7752
184	286720	2141	4	78	488	8118
185	286720	2141	6	58	1036	7036
185	286720	2141	6	58	1036	7036
186	286720	2141	10	108	2164	9632
186	286720	2141	4	94	488	16364
186	286720	2141	4	56	488	6548
187	286720	2141	8	66	2416	5856
187	286720	2141	4	66	488	5222
188	286720	2141	4	66	488	5222
188	286720	2141	6	52	780	6376
189	286720	2141	6	68	1740	6634
189	286720	2141	6	68	1004	6732
189	286720	2141	4	40	488	3654
190	286720	2141	6	60	1548	5500
190	286720	2141	4	70	488	8490
191	286720	2141	4	70	488	8490
191	286720	2141	8	72	1296	6056
192	286720	2141	4	62	1544	4670
192	286720	2141	6	44	640	5676
192	286720	2141	4	36	488	2870
193	286720	2141	8	52	2224	4032
193	286720	2141	8	52	2224	4032
194	286720	2141	6	46	780	3180
194	286720	2141	4	34	488	3624
194	286720	2141	10	50	2044	5076
195	286720	2141	4	22	488	2404
195	286720	2141	6	36	1036	2856
196	286720	2141	6	36	1036	2856
196	286720	2141	10	70	3060	4988
197	286720	2141	4	54	488	5432
197	286720	2141	4	40	488	3764
197	286720	2141	10	66	2504	4892
198	286720	2141	4	44	488	3376
198	286720	2141	4	42	488	3872
199	286720	2141	4	42	488	3872
199	286720	2141	8	82	2000	5644
200	286720	2141	8	40	1156	2980
200	286720	2141	4	64	488	7266
200	286720	2141	6	52	1772	4718
201	286720	2141	4	32	488	2278
201	286720	2141	6	94	1004	7036
202	286720	2141	6	94	1004	7036
202	286720	2141	6	96	1996	7652
203	286720	2141	4	110	488	7760
203	286720	2141	4	86	488	6168
